Team Name,Group Name,Player Name,Position
Egypt,G,Hossam Abdelmaguid,DF
Egypt,G,Mohamed Abdelmonemn,DF
Egypt,G,Ahmed Fatouh,DF
Egypt,G,Karim Hafez,DF
Egypt,G,Marwan Ateya,MF
Egypt,G,Mohanad Lasheen,MF
Egypt,G,Nabil Emad,MF
Egypt,G,Mahmoud Saber,MF
Egypt,G,Ahmed Zizo,MF
Egypt,G,Emam Ashour,MF
Egypt,G,Mostafa Ziko,MF
Egypt,G,Mahmoud Trezeguet,MF
Egypt,G,Ibrahim Adel,MF
Egypt,G,Haissem Hassan,MF
Egypt,G,Omar Marmoush,FW
Egypt,G,Mohamed Salah,FW
Egypt,G,Aqtay Abdallah,FW
Egypt,G,Hamza Abdelkarim,FW
Iran,G,Alireza Beiranvand,GK
Iran,G,Seyed Hossein Hosseini,GK
Iran,G,Payam Niazmand,GK
Iran,G,Danial Eiri,DF
Iran,G,Ehsan Hajsafi,DF
Iran,G,Saleh Hardani,DF
Iran,G,Hossein Kanaani,DF
Iran,G,Shoja Khalilzadeh,DF
Iran,G,Milad Mohammadi,DF
Iran,G,Ali Nemati,DF
Iran,G,Ramin Rezaeian,DF
Iran,G,Rouzbeh Cheshmi,MF
Iran,G,Saeid Ezatolahi,MF
Iran,G,Mehdi Ghaedi,MF
Iran,G,Saman Ghoddos,MF
Iran,G,Mohammad Ghorbani,MF
Iran,G,Alireza Jahanbakhsh,MF
Iran,G,Mohammad Mohebi,MF
Iran,G,Amir Mohammad Razzaghinia,MF
Iran,G,Mehdi Torabi,MF
Iran,G,Aria Yousefi,MF
Iran,G,Ali Alipour,FW
Iran,G,Dennis Dargahi,FW
Iran,G,Amirhossein Hosseinzadeh,FW
Iran,G,Mehdi Taremi,FW
Iran,G,Shahriar Moghanlou,FW
New Zealand,G,Max Crocombe,GK
New Zealand,G,Alex Paulsen,GK
New Zealand,G,Michael Woud,GK
